Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
GARDA;Mujer;Bolso;kaki;39,90€;No;?;GARDA-C50312;Base:16$Altura:31 cm$Ancho:26;
LAMBRA;Mujer;Botín;negro;49,90€;No;?;50187-C50167;Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Baja;
AIKO;Mujer;Deportiva;gris;45,90€;No;?;69444-C50093;Altura:3 cm;
AIKO;Mujer;Deportiva;negro;45,90€;No;?;69444-C50094;Altura:3 cm;
AIKO;Mujer;Deportiva;gris;45,90€;No;?;69444-C50095;Altura:3 cm;
ANKO;Mujer;Deportiva;blanco;45,90€;No;?;69495-C50096;Altura:3 cm;
BIGGER-BK;Mujer;Deportiva;blanco;36,90€;No;?;69458-C19667;Material principal:Sintetico$Altura:4 cm;
BIGGER-BK;Mujer;Deportiva;negro;36,90€;No;?;69458-C20291;Material principal:Sintetico$Altura:4 cm;
ELLE;Mujer;Deportiva;beige;36,90€;No;?;69434-C50047;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
;Mujer;Botas;?;?;No;?;50321-C49743;Altura:5.50 cm;
;Mujer;Botas;?;?;No;?;50321-C49742;Altura:5.50 cm;
CAMBRA;Mujer;Bota;negro;59,90€;No;?;50289-C50074;Altura:8 cm;
PENSA;Mujer;Bota;marron;59,90€;No;?;58204-C28595;Material principal:Textil$Altura:3 cm;
PENSA;Mujer;Bota;negro;59,90€;No;?;58204-C27784;Material principal:Textil$Altura:3 cm;
SAMBRA;Mujer;Bota;negro;55,90€;No;?;50255-C50074;Altura:8 cm;
SCORPIUS;Mujer;Bota;marron;59,90€;No;?;50268-C50073;Altura:8 cm;
